vehicle_id,distance_traveled,fuel_consumed_gallons,mpg
vehicle_1,29493.0,2139.8399999999997,13.782806191117094
vehicle_10,27963.199999999997,10428.08,2.6815291021933088
vehicle_11,37063.2,1698.1200000000001,21.826019362589214
vehicle_2,16116.0,608.616,26.4797507788162
vehicle_3,15582.199999999997,949.4219999999998,16.412301379154897
vehicle_4,867.1999999999998,548.5999999999999,1.5807510025519504
vehicle_5,3839.2999999999993,497.95000000000005,7.71021186866151
vehicle_6,1013.5,569.2400000000001,1.7804441009064713
vehicle_7,2609.8,551.3100000000001,4.733815820500263
vehicle_8,5336.700000000001,889.1099999999999,6.002294429260723
vehicle_9,7066.700000000001,573.874,12.314027120935956
